 ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
0.0,3.9345294302801385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.430945527616358e-05,3.114779629341224e-05,5.3384582532564594e-05,7.044237813468582e-05,8.408307407718826e-05,9.12991874372318e-05,7.27749072119933e-05,7.576331540268203e-05,0.0003521126760563,0.0002530364372469,9.998000399920016e-05,5.049484952534841e-05,7.43052459503641e-05,7.885813421654444e-05,2.868617326448652e-05,0.0005577244841048,5.958410296132992e-05,2.579912798947396e-05,5.31434341287134e-05,4.392322220758115e-05,0.0001876524676299,0.0001524622655892,0.0019723865877712,0.0008748906386701,0.0007209805335255
0.0,0.0009442870632672,0.0010318796502470364,0.0006229559258681878,0.0010676916506512355,0.001338405184559014,0.001513495333389312,0.0012781886241211684,0.0013099483298158066,0.001060686415637518,0.0024647887323944,0.0032894736842105,0.0019996000799839997,0.0010603918400322516,0.001114578689255436,0.0014983045501142556,0.0004876649454962135,0.0055772448410485,0.0007150092355358701,0.0005417816877789261,0.0009034383801880866,0.0004831554442833188,0.0024394820791893,0.0025918585150176,0.013806706114398399,0.011373578302712201,0.0021629416005768
0.0,0.005744412968209,0.004453375332645464,0.0029278928515807123,0.0043241511851377645,0.004649196956889186,0.005297233666862888,0.007486533369853031,0.0050214685976275935,0.004015455716342081,0.014084507042253398,0.011892712550607299,0.0080983803239352,0.004292062209654649,0.0035666518056174643,0.005598927529374645,0.0032128514056224866,0.003346346904629099,0.0050050646487517295,0.003070096230747374,0.005686347451772314,0.001976544999341181,0.0050666166260086,0.0076231132794632,0.007889546351084801,0.03849518810148719,0.015861571737563
0.0,0.0125118035882908,0.020311736273285037,0.010372216165706287,0.016549220585094934,0.011763877148492512,0.01967543933406201,0.02519857573267587,0.018266501710210204,0.0075005682248655186,0.045422535211267705,0.05086032388663961,0.024995000999800003,0.015249444556655152,0.012037449843958936,0.010251557448150754,0.009150889271371114,0.0184049079754601,0.01316808675445387,0.013157555274631725,0.017218472657703085,0.002284007554794119,0.017826984424845198,0.0333892361640495,0.0276134122287968,0.08398950131233601,0.0273972602739726
0.0,0.0336402266288952,0.04165535219681756,0.026880548201214716,0.026211830023489265,0.01789236404621019,0.03783738333473469,0.04208892540856393,0.023287970307837896,0.015834532919160482,0.04612676056338009,0.06882591093117409,0.0428914217156569,0.027620682690365647,0.018056174765938463,0.016087059380175045,0.017928858290304085,0.0290016731734523,0.027408687362211727,0.03361626377028447,0.03491523622256471,0.01207888610708488,0.0362169262525802,0.037963104131727196,0.025641025641025602,0.05599300087489059,0.053352559480894
0.0,0.0483553666981428,0.07635909411828584,0.05201681980999849,0.054238735853085536,0.051634263172724716,0.06415538552089461,0.07349584588697147,0.050724110326759206,0.03204788241533452,0.11338028169014103,0.10931174089068822,0.07048590281943601,0.051454251666329956,0.02823599346113834,0.03950792524248876,0.03720596672403891,0.052426101505856096,0.06584043377226959,0.04876035190010583,0.0631343997449115,0.02745201387973812,0.06004878964158379,0.08278701021497191,0.031558185404339203,0.1233595800524934,0.0670511896178803
0.0,0.0647230091281083,0.08407103676750136,0.0641644603644291,0.05947042494127706,0.058114961961115784,0.08231732952156728,0.07742171094677272,0.05378065642966309,0.03712402454731409,0.08028169014084488,0.06148785425101218,0.07688462307538499,0.06165421127045044,0.03098528756130176,0.05480640328049834,0.051663798049340286,0.0697155605131065,0.06107370553536312,0.06826449266014797,0.0668012966997927,0.03237141476698738,0.06530305873522231,0.09162982161914908,0.06114398422090729,0.03149606299212601,0.1124729632299928
0.0,0.0670443814919735,0.09558464128604774,0.0840056066033329,0.08103779628443294,0.0853057199211045,0.1049356764483309,0.08709942481511898,0.07510370424277701,0.05788317296764911,0.06971830985915511,0.10197368421052623,0.08738252349530082,0.07710563522520696,0.04317134789716154,0.08272218279315516,0.0626506024096384,0.0909090909090909,0.09140201394268008,0.08431155026960094,0.0807780198756444,0.06553344753371092,0.0979545881028336,0.09894801036743421,0.05719921104536481,0.11198600174978118,0.023792357606344613
0.0,0.07802171860245519,0.06305327757562607,0.06575299797539311,0.06956011103993176,0.07361228515074669,0.05768098881695119,0.06080525883319651,0.06724401426388188,0.0669747708159708,0.07007042253521109,0.008097165991902869,0.05868826234753058,0.07559078973944665,0.049487293802942464,0.06647740714454684,0.0732071141709697,0.0513106525376464,0.06250372400643503,0.06715513015660066,0.0646224159005154,0.06017481442438628,0.06004878964158371,0.0586979722518675,0.0848126232741618,-0.028871391076115388,0.12689257390050468
0.0,0.05067673906200812,0.04985607994351793,0.06248247936458509,0.060217809096732744,0.06255283178360102,0.0636508870764314,0.04610608965580189,0.054653955316206815,0.0659140844003334,0.01795774647887341,0.06629554655870433,0.04819036192761432,0.05483740658452825,0.04562342101352354,0.06963173251320887,0.0606999426276533,0.04684885666480751,0.062205803491628464,0.05500374087355844,0.05351543816761439,0.08336627574998891,0.06492775379996249,0.049397774050922494,0.055226824457593596,0.08486439195100598,-0.03821196827685658
0.0,0.056145734970097574,0.02476511160593077,0.047220059180812804,0.04292120435618206,0.04170188785573398,0.01656436559320619,0.033050305852278014,0.052980132450331285,0.06439881809227958,0.02711267605633779,-0.021255060728744828,0.03329334133173378,0.049484952534841545,0.05825531282508546,0.03864048576610664,0.0617613310384396,0.032905744562186284,0.03724006435083113,0.03601558267330565,0.0383164160068023,0.052400404093644395,0.029836742353161916,0.016465924683640706,0.067061143984221,-0.06211723534558168,0.09877433309300648
0.0,0.021718602455146327,0.01813935806223843,0.03086746612677159,0.039184283578902246,0.043040293040293026,0.03472630959387861,0.020451017985939783,0.03223928389491282,0.05447382377452842,-0.0031690140845068923,0.04757085020242903,0.019096180763847018,0.030195920016158256,0.053574082330212436,0.041873669268985156,0.035857716580608004,0.03736754043502502,0.03473753202645537,0.036995949536905645,0.030982622097039905,0.0715509289761496,0.03490335897917059,0.015856075621283792,0.0098619329388559,0.08048993875765509,-0.054073540014419684
0.0,0.030925401322001875,0.007929180470320069,0.025229714997663813,0.014253683536194856,0.012820512820512775,-0.005465399815017109,0.013512279740710419,0.025034568080925884,0.035987574816273876,0.02042253521126739,-0.03137651821862343,0.014997000599880184,0.024035548374065942,0.05706642888987966,0.020976263701600745,0.041738382099828,0.025655326268823275,0.015789787284752332,0.013492943938494852,0.014136153478237698,0.0221812272148285,0.006755488834678115,-0.0018295471870712933,0.053254437869822605,-0.06561679790026229,0.08795962509012259
0.0,0.007869058860560225,0.005919730625101632,0.007911540258526785,0.020659833440102346,0.021344040574809826,0.02085260237114251,0.00502145530904758,0.014846081071246416,0.022804757936207322,-0.01478873239436599,0.037955465587044435,0.003899220155968615,0.009745505958392062,0.036186654777827246,0.026180900559892757,0.010556511761330906,0.021751254880089124,0.01769647857951507,0.02360620211036865,0.0160493171068715,0.0459876136513374,0.016513417151435585,0.008690349138588193,-0.017751479289941002,0.06649168853893239,-0.06993511175198279
0.0,0.014282341831916876,0.0032042578612937675,0.012583709702538415,-0.0005338458253255456,-0.00042265426880822715,-0.01278062725973251,0.004108463434675519,0.011716760061131086,0.018562012273656975,0.01760563380281669,-0.033906882591093035,0.005698860227954586,0.01065441324984864,0.03135681379105365,0.005598927529374645,0.023092369477911698,0.006134969325153474,-0.00178752308884007,0.0008771703516420488,0.002763458574692998,-0.004084859665304995,-0.006004878964158486,-0.006555877420338493,0.037475345167653,-0.06561679790026229,0.07858687815428989
